date_id,date,day,quarter,day_of_week,month_id
240,2024-08-27,27,3,Tuesday,8
241,2024-08-28,28,3,Wednesday,8
242,2024-08-29,29,3,Thursday,8
243,2024-08-30,30,3,Friday,8
244,2024-08-31,31,3,Saturday,8
245,2024-09-01,1,3,Sunday,9
246,2024-09-02,2,3,Monday,9
247,2024-09-03,3,3,Tuesday,9
248,2024-09-04,4,3,Wednesday,9
249,2024-09-05,5,3,Thursday,9
250,2024-09-06,6,3,Friday,9
251,2024-09-07,7,3,Saturday,9
252,2024-09-08,8,3,Sunday,9
253,2024-09-09,9,3,Monday,9
254,2024-09-10,10,3,Tuesday,9
255,2024-09-11,11,3,Wednesday,9
256,2024-09-12,12,3,Thursday,9
257,2024-09-13,13,3,Friday,9
258,2024-09-14,14,3,Saturday,9
259,2024-09-15,15,3,Sunday,9
260,2024-09-16,16,3,Monday,9
261,2024-09-17,17,3,Tuesday,9
262,2024-09-18,18,3,Wednesday,9
263,2024-09-19,19,3,Thursday,9
264,2024-09-20,20,3,Friday,9
265,2024-09-21,21,3,Saturday,9
266,2024-09-22,22,3,Sunday,9
267,2024-09-23,23,3,Monday,9
268,2024-09-24,24,3,Tuesday,9
269,2024-09-25,25,3,Wednesday,9
270,2024-09-26,26,3,Thursday,9
271,2024-09-27,27,3,Friday,9
272,2024-09-28,28,3,Saturday,9
273,2024-09-29,29,3,Sunday,9
274,2024-09-30,30,3,Monday,9
275,2024-10-01,1,4,Tuesday,10
276,2024-10-02,2,4,Wednesday,10
277,2024-10-03,3,4,Thursday,10
278,2024-10-04,4,4,Friday,10
279,2024-10-05,5,4,Saturday,10
280,2024-10-06,6,4,Sunday,10
281,2024-10-07,7,4,Monday,10
282,2024-10-08,8,4,Tuesday,10
283,2024-10-09,9,4,Wednesday,10
284,2024-10-10,10,4,Thursday,10
285,2024-10-11,11,4,Friday,10
286,2024-10-12,12,4,Saturday,10
287,2024-10-13,13,4,Sunday,10
288,2024-10-14,14,4,Monday,10
289,2024-10-15,15,4,Tuesday,10
290,2024-10-16,16,4,Wednesday,10
291,2024-10-17,17,4,Thursday,10
292,2024-10-18,18,4,Friday,10
293,2024-10-19,19,4,Saturday,10
294,2024-10-20,20,4,Sunday,10
295,2024-10-21,21,4,Monday,10
296,2024-10-22,22,4,Tuesday,10
297,2024-10-23,23,4,Wednesday,10
298,2024-10-24,24,4,Thursday,10
299,2024-10-25,25,4,Friday,10
300,2024-10-26,26,4,Saturday,10
301,2024-10-27,27,4,Sunday,10
302,2024-10-28,28,4,Monday,10
303,2024-10-29,29,4,Tuesday,10
304,2024-10-30,30,4,Wednesday,10
305,2024-10-31,31,4,Thursday,10
306,2024-11-01,1,4,Friday,11
307,2024-11-02,2,4,Saturday,11
308,2024-11-03,3,4,Sunday,11
309,2024-11-04,4,4,Monday,11
310,2024-11-05,5,4,Tuesday,11
311,2024-11-06,6,4,Wednesday,11
312,2024-11-07,7,4,Thursday,11
313,2024-11-08,8,4,Friday,11
314,2024-11-09,9,4,Saturday,11
315,2024-11-10,10,4,Sunday,11
316,2024-11-11,11,4,Monday,11
317,2024-11-12,12,4,Tuesday,11
318,2024-11-13,13,4,Wednesday,11
319,2024-11-14,14,4,Thursday,11
320,2024-11-15,15,4,Friday,11
321,2024-11-16,16,4,Saturday,11
322,2024-11-17,17,4,Sunday,11
323,2024-11-18,18,4,Monday,11
324,2024-11-19,19,4,Tuesday,11
325,2024-11-20,20,4,Wednesday,11
326,2024-11-21,21,4,Thursday,11
327,2024-11-22,22,4,Friday,11
328,2024-11-23,23,4,Saturday,11
329,2024-11-24,24,4,Sunday,11
330,2024-11-25,25,4,Monday,11
331,2024-11-26,26,4,Tuesday,11
332,2024-11-27,27,4,Wednesday,11
333,2024-11-28,28,4,Thursday,11
334,2024-11-29,29,4,Friday,11
335,2024-11-30,30,4,Saturday,11
336,2024-12-01,1,4,Sunday,12
337,2024-12-02,2,4,Monday,12
338,2024-12-03,3,4,Tuesday,12
339,2024-12-04,4,4,Wednesday,12
340,2024-12-05,5,4,Thursday,12
341,2024-12-06,6,4,Friday,12
342,2024-12-07,7,4,Saturday,12
343,2024-12-08,8,4,Sunday,12
344,2024-12-09,9,4,Monday,12
345,2024-12-10,10,4,Tuesday,12
346,2024-12-11,11,4,Wednesday,12
347,2024-12-12,12,4,Thursday,12
348,2024-12-13,13,4,Friday,12
349,2024-12-14,14,4,Saturday,12
350,2024-12-15,15,4,Sunday,12
351,2024-12-16,16,4,Monday,12
352,2024-12-17,17,4,Tuesday,12
353,2024-12-18,18,4,Wednesday,12
354,2024-12-19,19,4,Thursday,12
355,2024-12-20,20,4,Friday,12
356,2024-12-21,21,4,Saturday,12
357,2024-12-22,22,4,Sunday,12
358,2024-12-23,23,4,Monday,12
359,2024-12-24,24,4,Tuesday,12
360,2024-12-25,25,4,Wednesday,12
361,2024-12-26,26,4,Thursday,12
362,2024-12-27,27,4,Friday,12
363,2024-12-28,28,4,Saturday,12
364,2024-12-29,29,4,Sunday,12
365,2024-12-30,30,4,Monday,12
366,2024-12-31,31,4,Tuesday,12
